Campaign type,Campaign,Status,Country,Profile,Portfolio,Target type,Daily Budget,Current Budget,Bidding Strategy,SP Off-site Ads Strategy,Labels,Budget group,Top-of-search IS,Avg.time in Budget,Impressions,Clicks,CTR,Spend,CPC,Orders,Sales,Units,CVR,ACOS,ROAS,CPA,Sales Same SKU,Sales Other SKU,Orders Same SKU,Orders Other SKU,Units Same SKU,Units Other SKU
sponsoredProducts,B0DGGDX9P5_CF_Vintage 1985 + back in 1985_asin exp 14h46,Delivering,US,NewEleven,B0DGGDX9P5_COFFEE GLASS_VINTAGE 1985 + BACK IN 1985_NGAN,manual,$15.00,$0.00,Dynamic bids down only,MINIMIZE_SPEND,--,,0.0001,60%,2458,27,0.011,35.79,1.33,4,67.92,4,0.1481,0.5269,1.9,8.95,67.92,0,4,--,4,--
sponsoredProducts,"B0FBQZZK71_Bible Jar_Grandma_gifts for grandma b,p",Paused,US,NewEleven,B0FBQZZK71_BIBLE JAR_GRANDMA_THILE,manual,$20.00,$0.00,Dynamic bids down only,MINIMIZE_SPEND,--,,0.0144,80%,1511,20,0.0132,34.42,1.72,1,17.98,1,0.05,1.9143,0.52,34.42,17.98,0,1,--,1,--
sponsoredProducts,"B089QFYLFB_12oz_Fifty fabulous rose_50th birthday gift_b,p 10h30",Paused,US,NewEleven,B089QFYLFB_TUMBLER 12_FIFTY FABULOUS ROSE GOLD_NGAN,manual,$15.00,$0.00,Dynamic bids down only,NOT_SET,--,,0.0007,90%,1689,11,0.0065,33,3,3,59.94,3,0.2727,0.5506,1.82,11,39.96,19.98,2,1,2,1
sponsoredProducts,B0FC69GZW9_Card_We Wouldn'T Be The Team_asin exact_15h,Out Of Budget,US,NewEleven,B0FC69GZW9_CARD_MAY YOU BE PROUD OF THE WORK_THILE,manual,$40.00,$0.00,Dynamic bids down only,MINIMIZE_SPEND,--,,0.0336,60%,3294,32,0.0097,30.12,0.94,7,48.93,7,0.2188,0.6156,1.62,4.3,48.93,0,7,--,7,--
sponsoredProducts,"B0F18CMJ3L_Whiskey_Every Sip Tastes_retirement gift_b,p 10h",Delivering,US,NewEleven,B0F18CMJ3L_WHISKEY GLASS_EVERY SIP TASTES LIKE RETIRED 2025_Linh,manual,$25.00,$0.00,Dynamic bids and down,NOT_SET,--,,0.0233,50%,1326,20,0.0151,29.4,1.47,6,130.88,6,0.3,0.2246,4.45,4.9,114.9,15.98,5,1,5,1
sponsoredProducts,"B0FBQZZK71_Bible Jar_Grandma_birthday gifts for grandma b,p",Delivering,US,NewEleven,B0FBQZZK71_BIBLE JAR_GRANDMA_THILE,manual,$25.00,$0.00,Dynamic bids down only,MINIMIZE_SPEND,--,,0.0115,40%,636,16,0.0252,28.22,1.76,2,34.96,2,0.125,0.8072,1.24,14.11,17.98,16.98,1,1,1,1
sponsoredProducts,B0F18PVLJ1_20oz_Every sip tastes_retirement gifts for men_ex 10h50,Out Of Budget,US,NewEleven,B0F18PVLJ1_TUMBLER 20_EVERY SIP TASTES LIKE RETIRED 2025 BLACK_Linh,manual,$20.00,$0.00,Dynamic bids and down,NOT_SET,--,,0.0308,80%,1246,15,0.012,27.4,1.83,4,91.92,4,0.2667,0.2981,3.35,6.85,91.92,0,4,--,4,--
sponsoredProducts,B0F18PVLJ1_20oz_Every sip tastes_asin high CR 17h30,Delivering,US,NewEleven,B0F18PVLJ1_TUMBLER 20_EVERY SIP TASTES LIKE RETIRED 2025 BLACK_Linh,manual,$30.00,$0.00,Dynamic bids and down,MINIMIZE_SPEND,--,,0.0011,90%,4889,18,0.0037,26.95,1.5,5,114.9,5,0.2778,0.2346,4.26,5.39,114.9,0,5,--,5,--
sponsoredProducts,B0DH7YGD9Q_20oz_Vintage 1975 + weird navy_all key 2,Out Of Budget,US,NewEleven,B0DH7YGD9Q_TUMBLER 20_VINTAGE 1975 + WEIRD BEING OLD PEOPLE NAVY_Linh,manual,$30.00,$0.00,Dynamic bids down only,NOT_SET,--,,0.003,30%,2037,13,0.0064,25.44,1.96,5,99.9,5,0.3846,0.2547,3.93,5.09,99.9,0,5,--,5,--
sponsoredProducts,"B09XXP5V2W_20oz_Quitter black_retirement gift for men_b,p 12h30",Paused,US,NewEleven,B09XXP5V2W_TUMBLER 20_QUITTER BLACK_TRINH,manual,$17.00,$0.00,Dynamic bids down only,NOT_SET,--,,0.0055,80%,1969,21,0.0107,24.48,1.17,3,59.94,3,0.1429,0.4084,2.45,8.16,39.96,19.98,2,1,2,1
