Campaign type,Campaign,Status,Country,Profile,Portfolio,Target type,Daily Budget,Current Budget,Bidding Strategy,SP Off-site Ads Strategy,Labels,Budget group,Impressions(Current period),Impressions(Comparison period),Impressions(Sequential growth rate),Clicks(Current period),Clicks(Comparison period),Clicks(Sequential growth rate),CTR(Current period),CTR(Comparison period),CTR(Sequential growth rate),Spend(Current period),Spend(Comparison period),Spend(Sequential growth rate),CPC(Current period),CPC(Comparison period),CPC(Sequential growth rate),Orders(Current period),Orders(Comparison period),Orders(Sequential growth rate),Sales(Current period),Sales(Comparison period),Sales(Sequential growth rate),Units(Current period),Units(Comparison period),Units(Sequential growth rate),CVR(Current period),CVR(Comparison period),CVR(Sequential growth rate),ACOS(Current period),ACOS(Comparison period),ACOS(Sequential growth rate),ROAS(Current period),ROAS(Comparison period),ROAS(Sequential growth rate),CPA(Current period),CPA(Comparison period),CPA(Sequential growth rate),Sales Same SKU(Current period),Sales Same SKU(Comparison period),Sales Same SKU(Sequential growth rate),Sales Other SKU(Current period),Sales Other SKU(Comparison period),Sales Other SKU(Sequential growth rate),Orders Same SKU(Current period),Orders Same SKU(Comparison period),Orders Same SKU(Sequential growth rate),Orders Other SKU(Current period),Orders Other SKU(Comparison period),Orders Other SKU(Sequential growth rate),Units Same SKU(Current period),Units Same SKU(Comparison period),Units Same SKU(Sequential growth rate),Units Other SKU(Current period),Units Other SKU(Comparison period),Units Other SKU(Sequential growth rate)
sponsoredProducts,"B0CRKR75LJ_20oz_Grandmasaurus+Grandma nutri white_gifts from grandkids b,p",Delivering,US,NewEleven,B0CRKR75LJ_TUMBLER 20_GRANDMASAURUS + GRANDMA NUTRITION  WHITE_Linh,manual,$5.00,$0.00,Dynamic bids and down,MINIMIZE_SPEND,--,,109,2,53.5,2,0,2,0.0183,0,1.83,2.13,0,2.13,1.07,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,--,--,--
sponsoredProducts,"B0CXXJ751C_CF_Work bestie nutrition_friend b,p",Delivering,US,NewEleven,B0CXXJ751C_COFFEE GLASS_WORK BESTIE + WORK BESTIE NUTRITION WHITE_Linh,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,1022,700,0.46,14,7,1,0.0137,0.01,0.37,10.58,5.44,0.9449,0.76,0.78,-0.0256,1,2,-0.5,22.98,38.97,-0.4103,1,2,-0.5,0.0714,0.2857,-0.7501,0.4604,0.1396,2.298,2.17,7.16,-0.6969,10.58,2.72,2.8897,22.98,22.98,0,0,15.99,-1,1,1,0,--,1,--,1,1,0,--,1,--
sponsoredProducts,"B0DLV9CFVS_Orna_In my auntie era ceramic_aunt ornaments b,p",Delivering,US,NewEleven,x B0DLV9CFVS_ORNAMENT_IN MY AUNTIE ERA CERAMIC_Linh,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,721,805,-0.1043,5,11,-0.5455,0.0069,0.0137,-0.4964,9,23.13,-0.6109,1.8,2.1,-0.1429,2,7,-0.7143,25.98,89.93,-0.7111,2,7,-0.7143,0.4,0.6364,-0.3715,0.3464,0.2572,0.3468,2.89,3.89,-0.2571,4.5,3.3,0.3636,25.98,77.94,-0.6667,0,11.99,-1,2,6,-0.6667,--,1,--,2,6,-0.6667,--,1,--
sponsoredProducts,"B0DLV9CFVS_Orna_In my auntie era ceramic_aunt ornament 2024 b,p",Delivering,US,NewEleven,x B0DLV9CFVS_ORNAMENT_IN MY AUNTIE ERA CERAMIC_Linh,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,1055,1560,-0.3237,1,2,-0.5,0.0009,0.0013,-0.3077,1.8,4.05,-0.5556,1.8,2.03,-0.1133,0,3,-1,0,41.97,-1,0,3,-1,0,1.5,-1,--,0.0965,--,0,10.36,-1,0,1.35,-1,0,12.99,-1,0,28.98,-1,0,1,-1,--,2,--,0,1,-1,--,2,--
sponsoredProducts,B0DLV9CFVS_Orna_In my auntie era ceramic_all key,Delivering,US,NewEleven,x B0DLV9CFVS_ORNAMENT_IN MY AUNTIE ERA CERAMIC_Linh,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,2735,1591,0.719,14,13,0.0769,0.0051,0.0082,-0.378,20.7,19.5,0.0615,1.48,1.5,-0.0133,7,7,0,100.92,103.92,-0.0289,7,8,-0.125,0.5,0.5385,-0.0715,0.2051,0.1876,0.0933,4.88,5.33,-0.0844,2.96,2.79,0.0609,64.95,103.92,-0.375,35.97,0,35.97,5,7,-0.2857,2,--,--,5,8,-0.375,2,--,--
sponsoredProducts,Brand_neweleven_all,Delivering,US,NewEleven,BRAND KEYWORD,manual,$25.00,$0.00,Dynamic bids and down,NOT_SET,--,,1922,2152,-0.1069,4,5,-0.2,0.0021,0.0023,-0.087,4.55,3.34,0.3623,1.14,0.67,0.7015,3,3,0,78.95,72.94,0.0824,3,3,0,0.75,0.6,0.25,0.0576,0.0458,0.2576,17.35,21.84,-0.2056,1.52,1.11,0.3694,32.98,19.98,0.6507,45.97,52.96,-0.132,1,1,0,2,2,0,1,1,0,2,2,0
sponsoredProducts,B08ZRWW1W4_12oz_Wise women rose_all key,Delivering,US,NewEleven,B08ZRWW1W4_TUMBLER 12_WISE WOMEN ROSE GOLD_Linh,manual,$10.00,$0.00,Dynamic bids and down,MINIMIZE_SPEND,--,,929,1571,-0.4087,4,9,-0.5556,0.0043,0.0057,-0.2456,4,8.87,-0.549,1,0.99,0.0101,0,3,-1,0,59.94,-1,0,3,-1,0,0.3333,-1,--,0.148,--,0,6.76,-1,0,2.96,-1,0,59.94,-1,0,0,0,0,3,-1,--,--,--,0,3,-1,--,--,--
sponsoredProducts,SP_B08R8R2LQF_Tumbler 20_May The Forties Be With You Black_Manual_KW_40th birthday gifts for men_b_Down,Delivering,US,NewEleven,B08R8R2LQF_TUMBLER 20_MAY THE FORTIES BE WITH YOU BLACK_TRINH,manual,$17.00,$0.00,Dynamic bids down only,NOT_SET,--,,59,189,-0.6878,3,3,0,0.0508,0.0159,2.195,7.5,8.25,-0.0909,2.5,2.75,-0.0909,0,1,-1,0,22.98,-1,0,1,-1,0,0.3333,-1,--,0.359,--,0,2.79,-1,0,8.25,-1,0,22.98,-1,0,0,0,0,1,-1,--,--,--,0,1,-1,--,--,--
sponsoredProducts,"B0CY4MC1GJ_20oz_Dumb bass black_fishing gifts b,p 2",Delivering,US,NewEleven,B0CY4MC1GJ_TUMBLER 20_DON'T BE A DUMB BASS BLACK_Linh,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,688,646,0.065,3,6,-0.5,0.0044,0.0093,-0.5269,3.15,6.05,-0.4793,1.05,1.01,0.0396,1,1,0,27.49,27.49,0,1,1,0,0.3333,0.1667,0.9994,0.1146,0.2201,-0.4793,8.73,4.54,0.9229,3.15,6.05,-0.4793,27.49,27.49,0,0,0,0,1,1,0,--,--,--,1,1,0,--,--,--
sponsoredProducts,B092HNBJT6_20oz_coworker black_auto 1,Paused,US,NewEleven,B092HNBJT6_TUMBLER 20_COWORKER BLACK_TRINH,auto,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,270,--,--,6,--,--,0.0222,--,--,5.32,--,--,0.89,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B092HNBJT6_20oz_coworker black_going away gifts for friends b,p",Paused,US,NewEleven,B092HNBJT6_TUMBLER 20_COWORKER BLACK_TRINH,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,2,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B092HNBJT6_20oz_coworker black_good luck b,p",Paused,US,NewEleven,B092HNBJT6_TUMBLER 20_COWORKER BLACK_TRINH,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,20,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B092HNBJT6_20oz_coworker black_gift for coworker male b,p",Paused,US,NewEleven,B092HNBJT6_TUMBLER 20_COWORKER BLACK_TRINH,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,79,--,--,1,--,--,0.0127,--,--,2.02,--,--,2.02,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B092HNBJT6_20oz_coworker black_going away gifts for coworkers women b,p",Paused,US,NewEleven,B092HNBJT6_TUMBLER 20_COWORKER BLACK_TRINH,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,4,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B092HNBJT6_20oz_coworker black_goodbye gifts for coworkers b,p 1",Paused,US,NewEleven,B092HNBJT6_TUMBLER 20_COWORKER BLACK_TRINH,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,43,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B092HNBJT6_20oz_coworker black_coworker gifts for men b,p",Paused,US,NewEleven,B092HNBJT6_TUMBLER 20_COWORKER BLACK_TRINH,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,145,--,--,1,--,--,0.0069,--,--,1.33,--,--,1.33,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B092HNBJT6_20oz_coworker black_co worker gifts for woman b,p",Paused,US,NewEleven,B092HNBJT6_TUMBLER 20_COWORKER BLACK_TRINH,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,13,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0CY4HY9KC_20oz_Dont be dumb bass navy_dad, men b,p",Paused,US,NewEleven,B0CY4HY9KC_TUMBLER 20_DON'T BE A DUMB BASS NAVY_Linh,manual,$10.00,$0.00,Dynamic bids and down,NOT_SET,--,,165,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0CY4HY9KC_20oz_Dont be dumb bass navy_fishing gift b,p",Paused,US,NewEleven,B0CY4HY9KC_TUMBLER 20_DON'T BE A DUMB BASS NAVY_Linh,manual,$10.00,$0.00,Dynamic bids and down,NOT_SET,--,,2,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0CY4MC1GJ_20oz_Dont be dumb bass navy_gift for fisherman b,p",Paused,US,NewEleven,B0CY4HY9KC_TUMBLER 20_DON'T BE A DUMB BASS NAVY_Linh,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,3,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0CY4HY9KC_20oz_Dont be dumb bass navy_fishing gifts b,p",Paused,US,NewEleven,B0CY4HY9KC_TUMBLER 20_DON'T BE A DUMB BASS NAVY_Linh,manual,$10.00,$0.00,Dynamic bids and down,NOT_SET,--,,4,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0978WGWY4_20oz_Awesome black_christmas gifts for coworkers b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$10.00,$0.00,Dynamic bids and down,NOT_SET,--,,82,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0978WGWY4_20oz_Awesome black_gifts for men unique b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,31,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0978WGWY4_20oz_Awesome black_mens gifts ideas b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,112,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0978WGWY4_20oz_Awesome black_funny gifts for women b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,255,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0978WGWY4_20oz_Awesome black_personalized gifts for men b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,5,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0978WGWY4_20oz_Awesome black_cool gifts for coworkers b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,1,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0978WGWY4_20oz_Awesome black_best friend gifts for women b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,175,--,--,2,--,--,0.0114,--,--,1.8,--,--,0.9,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0978WGWY4_20oz_Awesome black_gifts for coworkers b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,1074,--,--,3,--,--,0.0028,--,--,4.15,--,--,1.38,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0978WGWY4_20oz_Awesome black_gifts for men b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$10.00,$0.00,Dynamic bids and down,NOT_SET,--,,160,--,--,2,--,--,0.0125,--,--,2.1,--,--,1.05,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0978WGWY4_20oz_Awesome black_gifts for men who have everything b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,24,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0D831XY4Y_Candle_Finally retired_retirement candle b,p",Paused,US,NewEleven,B0D831XY4Y_CANDLE_FINALLY RETIRED_NGUYEN,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,85,--,--,4,--,--,0.0471,--,--,5.17,--,--,1.29,--,--,1,--,--,16.99,--,--,1,--,--,0.25,--,--,0.3043,--,--,3.29,--,--,5.17,--,--,0,--,--,16.99,--,--,0,--,--,1,--,--,0,--,--,1,--,--
sponsoredProducts,"B0D831XY4Y_Candle_Finally retired_funny retirement gifts for women b,p",Paused,US,NewEleven,B0D831XY4Y_CANDLE_FINALLY RETIRED_NGUYEN,manual,$1.00,$0.00,Dynamic bids and down,NOT_SET,--,,2,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0D831XY4Y_Candle_Finally retired_best gifts for retirement b,p 1",Paused,US,NewEleven,B0D831XY4Y_CANDLE_FINALLY RETIRED_NGUYEN,manual,$1.00,$0.00,Dynamic bids and down,NOT_SET,--,,20,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0D831XY4Y_Candle_Finally retired_retirement decorations for women b,p",Paused,US,NewEleven,B0D831XY4Y_CANDLE_FINALLY RETIRED_NGUYEN,manual,$1.00,$0.00,Dynamic bids and down,NOT_SET,--,,4,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0D831XY4Y_Candle_Finally retired_retired gifts for women b,p",Paused,US,NewEleven,B0D831XY4Y_CANDLE_FINALLY RETIRED_NGUYEN,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,87,--,--,1,--,--,0.0115,--,--,1.05,--,--,1.05,--,--,1,--,--,19.98,--,--,1,--,--,1,--,--,0.0526,--,--,19.03,--,--,1.05,--,--,19.98,--,--,0,--,--,1,--,--,--,--,--,1,--,--,--,--,--
sponsoredProducts,"B0D831XY4Y_Candle_Finally retired_retirement b,p",Paused,US,NewEleven,B0D831XY4Y_CANDLE_FINALLY RETIRED_NGUYEN,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,256,--,--,4,--,--,0.0156,--,--,4.2,--,--,1.05,--,--,1,--,--,19.98,--,--,1,--,--,0.25,--,--,0.2102,--,--,4.76,--,--,4.2,--,--,19.98,--,--,0,--,--,1,--,--,--,--,--,1,--,--,--,--,--
sponsoredProducts,"B0D831XY4Y_Candle_Finally retired_2024 retirement gifts b,p",Paused,US,NewEleven,B0D831XY4Y_CANDLE_FINALLY RETIRED_NGUYEN,manual,$1.00,$0.00,Dynamic bids and down,NOT_SET,--,,10,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0D831XY4Y_Candle_Finally retired_retirement gift b,p 1",Paused,US,NewEleven,B0D831XY4Y_CANDLE_FINALLY RETIRED_NGUYEN,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,69,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0D831XY4Y_Candle_Finally retired_retirement gifts for women 2024 b,p",Paused,US,NewEleven,B0D831XY4Y_CANDLE_FINALLY RETIRED_NGUYEN,manual,$1.00,$0.00,Dynamic bids and down,NOT_SET,--,,149,--,--,1,--,--,0.0067,--,--,1.14,--,--,1.14,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,0,--,--,0,--,--,0,--,--,0,--,--,--,--,--,0,--,--,--,--,--
sponsoredProducts,"B0CZRZTBMT_20oz_Cool dad club black_papa gifts b,p",Paused,US,NewEleven,B0CZRZTBMT_TUMBLER 20_COOL DAD CLUB BLACK_NGAN,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,101,--,--,3,--,--,0.0297,--,--,6,--,--,2,--,--,1,--,--,15.98,--,--,1,--,--,0.3333,--,--,0.3755,--,--,2.66,--,--,6,--,--,15.98,--,--,0,--,--,1,--,--,--,--,--,1,--,--,--,--,--
sponsoredProducts,"B0CZRZTBMT_20oz_Cool dad club black_for dad b,p",Paused,US,NewEleven,B0CZRZTBMT_TUMBLER 20_COOL DAD CLUB BLACK_NGAN,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,371,--,--,4,--,--,0.0108,--,--,6.49,--,--,1.62,--,--,1,--,--,15.98,--,--,1,--,--,0.25,--,--,0.4061,--,--,2.46,--,--,6.49,--,--,15.98,--,--,0,--,--,1,--,--,--,--,--,1,--,--,--,--,--
