Date,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),"Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),7 Day Total Sales
"Jul 01, 2025",B0FBLTYSS4_CARD_READING AMAZING STORIES,Sponsored Products,"B0FBLTYSS4_ Card_Reading Amazing Stories_thank you teacher cards b,p_11h45",United Kingdom,PAUSED,GBP,£5.0,Manual targeting,Dynamic bids – up and down,94,,5,,5.319%,£5.73,,£1.146,£0.0,2,45.913%,2.18,£12.48
"Jul 01, 2025",B0CQK1NB66_COFFEE GLASS_COOL AUNTIE CLUB,Sponsored Products,"B0CQK1NB66_CF_Cool auntie club_auntie gifts_b,p",United Kingdom,PAUSED,GBP,£8.0,Manual targeting,Dynamic bids – up and down,559,,4,,0.716%,£3.93,,£0.9825,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0B3J9CRB6_COLLEAGUES,Sponsored Products,[Colleagues] [auto],United Kingdom,PAUSED,GBP,£3.0,Automatic targeting,Dynamic bids – up and down,1095,,10,,0.9129999999999999%,£5.39,,£0.539,£0.0,2,17.991%,5.56,£29.96
"Jul 01, 2025",B08R8R2LQF_TUMBLER 20_MAY THE FORTIES BE WITH YOU BLACK,Sponsored Products,B08R8R2LQF_20oz_Forties may black_auto 11h55,United Kingdom,PAUSED,GBP,£3.0,Automatic targeting,Dynamic bids – up and down,2440,,4,,0.164%,£3.06,,£0.765,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0DH7YGD9Q_TUMBLER 20_VINTAGE 1975 + WEIRD BEING OLD PEOPLE NAVY,Sponsored Products,"B0DH7YGD9Q_20oz_Vintage 1975 weird being navy_50th birthday gifts for men b,p_15h50",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,30,,0,,0.0%,£0.0,,£0.0,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B09XDFF8FF_TUMBLER 20_YOU ARE DEAD TO US BLACK,Sponsored Products,"B09XDFF8FF_20oz_Dead to us black_leaving gifts for women b,p_11h30",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,89,,0,,0.0%,£0.0,,£0.0,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0FBLTYSS4_CARD_READING AMAZING STORIES,Sponsored Products,"B0FBLTYSS4_ Card_Reading Amazing Stories_thank you for helping me grow b,p",United Kingdom,PAUSED,GBP,£1.0,Manual targeting,Dynamic bids – up and down,21,,0,,0.0%,£0.0,,£0.0,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0CQK1NB66_COFFEE GLASS_COOL AUNTIE CLUB,Sponsored Products,"B0CQK1NB66_CF_Cool auntie club_aunty_b,p",United Kingdom,PAUSED,GBP,£5.0,Manual targeting,Dynamic bids – up and down,323,,4,,1.238%,£3.49,,£0.8725,£0.0,2,13.100999999999999%,7.63,£26.64
"Jul 01, 2025",B0DH7PQ1RX_TUMBLER 20_VINTAGE 1985 WEIRD BEING OLD PEOPLE BLACK,Sponsored Products,"B0DH7PQ1RX_20oz_Vintage 1985 weird being black_40th birthday decorations b,p_15h30",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,354,,1,,0.28200000000000003%,£1.48,,£1.48,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0CQK1NB66_COFFEE GLASS_COOL AUNTIE CLUB,Sponsored Products,B0CQK1NB66_CF_Cool auntie club_auto 11h30,United Kingdom,PAUSED,GBP,£5.0,Automatic targeting,Dynamic bids – up and down,1257,,5,,0.398%,£3.51,,£0.7020000000000001,£0.0,2,13.175999999999998%,7.59,£26.64
"Jul 01, 2025",B0FBLWK4S9_CARD_AN AWESOME TEACHER,Sponsored Products,"B0FBLWK4S9_ Card_An Awesome Teacher_thank you teacher gifts b,p_11h30",United Kingdom,PAUSED,GBP,£5.0,Manual targeting,Dynamic bids – up and down,642,,8,,1.246%,£5.81,,£0.72625,£0.0,2,58.216%,1.72,£9.98
"Jul 01, 2025",B0FBLWK4S9_CARD_AN AWESOME TEACHER,Sponsored Products,"B0FBLWK4S9_ Card_An Awesome Teacher_thank you teacher cards b,p",United Kingdom,PAUSED,GBP,£10.0,Manual targeting,Dynamic bids – up and down,288,,10,,3.472%,£10.47,,£1.047,£0.0,4,32.275%,3.1,£32.44
"Jul 01, 2025",B09B9PKM9M_TUMBLER 20_BRIDE,Sponsored Products,"B09B9PKM9M_20oz_Bride_bride to be b,p 1",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,948,,6,,0.633%,£3.52,,£0.5866667,£0.0,1,24.876%,4.02,£14.15
"Jul 01, 2025",B09B9PKM9M_TUMBLER 20_BRIDE,Sponsored Products,"B09B9PKM9M_20oz_Bride_bride gifts b,p_11h30",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,1391,,5,,0.359%,£3.04,,£0.608,£0.0,2,10.742%,9.31,£28.3
"Jul 01, 2025",B0DH7YGD9Q_TUMBLER 20_VINTAGE 1975 + WEIRD BEING OLD PEOPLE NAVY,Sponsored Products,B0DH7YGD9Q_20oz_Vintage 1975 weird being navy_auto 14h30,United Kingdom,PAUSED,GBP,£3.0,Automatic targeting,Dynamic bids – up and down,602,,3,,0.498%,£2.5,,£0.8333333,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0DH7YGD9Q_TUMBLER 20_VINTAGE 1975 + WEIRD BEING OLD PEOPLE NAVY,Sponsored Products,B0DH7YGD9Q_20oz_Vintage 1975 weird being navy_auto 1,United Kingdom,PAUSED,GBP,£2.0,Automatic targeting,Dynamic bids – up and down,21,,0,,0.0%,£0.0,,£0.0,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0DHCFTYVW_TUMBLER 20_VINTAGE 1965 WEIRD BEING BLACK,Sponsored Products,"B0DHCFTYVW_20oz_Vintage 1965 weird being black_60th birthday decorations b,p_15h20",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,8,,0,,0.0%,£0.0,,£0.0,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0DH7X6R1J_TUMBLER 20_50 & FABULOUS + MAKING THE WORLD 1975 WHITE,Sponsored Products,B0DH7X6R1J_20oz_50 & fabulous + making 1975_auto 14h40,United Kingdom,PAUSED,GBP,£3.0,Automatic targeting,Dynamic bids – up and down,1089,,4,,0.367%,£3.09,,£0.7725,£0.0,1,24.759999999999998%,4.04,£12.48
"Jul 01, 2025",B0DH7PQ1RX_TUMBLER 20_VINTAGE 1985 WEIRD BEING OLD PEOPLE BLACK,Sponsored Products,"B0DH7PQ1RX_20oz_Vintage 1985 weird being black_1985 birthday gifts for men b,p_15h",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,19,,1,,5.263%,£1.33,,£1.33,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0FBLVSKTY_CARD_SOUNDS LIKE... RETIRMENT,Sponsored Products,"B0FBLVSKTY_Card_Sounds Like... Retirment_retirement card for women b,p",United Kingdom,ENABLED,GBP,£10.0,Manual targeting,Dynamic bids – down only,1374,,10,,0.728%,£5.53,,£0.5529999999999999,£0.0,1,132.933%,0.75,£4.16
"Jul 01, 2025",B0FBLTYSS4_CARD_READING AMAZING STORIES,Sponsored Products,"B0FBLTYSS4_ Card_Reading Amazing Stories_thank you teacher cards b,p",United Kingdom,PAUSED,GBP,£1.0,Manual targeting,Dynamic bids – up and down,3,,1,,33.333%,£1.0,,£1.0,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0B3J9CRB6_COLLEAGUES,Sponsored Products,"B0B3J9CRB6_20oz_Colleague black_leaving gifts for men b,p",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,163,,4,,2.4539999999999997%,£4.04,,£1.01,£0.0,1,25.537%,3.92,£15.82
"Jul 01, 2025",B0FBLWK4S9_CARD_AN AWESOME TEACHER,Sponsored Products,B0FBLWK4S9_ Card_An Awesome Teacher_Category 11h30,United Kingdom,PAUSED,GBP,£5.0,Manual targeting,Dynamic bids – up and down,321,,6,,1.8689999999999998%,£5.72,,£0.9533333,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0FBLWK4S9_CARD_AN AWESOME TEACHER,Sponsored Products,Teacher + Retirement card_Category 11h40,United Kingdom,PAUSED,GBP,£5.0,Manual targeting,Dynamic bids – up and down,1039,,9,,0.8659999999999999%,£11.44,,£1.2711111,£0.0,2,21.154%,4.73,£54.08
"Jul 01, 2025",B08R8R7T36_TUMBLER 12_BRIDE,Sponsored Products,"B08R8R7T36_12oz_Bride_bride to be b,p_14h45",United Kingdom,PAUSED,GBP,£5.0,Manual targeting,Dynamic bids – up and down,976,,4,,0.41000000000000003%,£3.23,,£0.8075,£0.0,2,11.413%,8.76,£28.3
"Jul 01, 2025",B0DH7YGD9Q_TUMBLER 20_VINTAGE 1975 + WEIRD BEING OLD PEOPLE NAVY,Sponsored Products,"B0DH7YGD9Q_20oz_Vintage 1975 weird being navy_50th birthday gifts b,p",United Kingdom,PAUSED,GBP,£5.0,Manual targeting,Dynamic bids – up and down,873,,0,,0.0%,£0.0,,£0.0,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0FBLWK4S9_CARD_AN AWESOME TEACHER,Sponsored Products,"B0FBLWK4S9_ Card_An Awesome Teacher_teacher cards b,p_11h25",United Kingdom,PAUSED,GBP,£10.0,Manual targeting,Dynamic bids – up and down,722,,10,,1.385%,£10.15,,£1.015,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0CQ2HR9WG_TUMBLER 20_MY FAVOURITE CHILD GAVE ME THIS CUP + DAD NUTRITION NAVY,Sponsored Products,"B0CQ2HR9WG_20oz_My favorite child + dad nutri_gifts for dad b,p_14h35",United Kingdom,ENABLED,GBP,£5.0,Manual targeting,Dynamic bids – down only,121,,4,,3.306%,£3.0,,£0.75,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B0DH7YGD9Q_TUMBLER 20_VINTAGE 1975 + WEIRD BEING OLD PEOPLE NAVY,Sponsored Products,"B0DH7YGD9Q_20oz_Vintage 1975 weird being navy_50th birthday decorations for men b,p_15h50",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,58,,2,,3.4479999999999995%,£4.66,,£2.33,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B09792XF8F_20 OZ_ BROTHER,Sponsored Products,[brother] all keyword,United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,295,,6,,2.0340000000000003%,£5.66,,£0.9433333,£0.0,1,68.029%,1.47,£8.32
"Jul 01, 2025",B08R8R7T36_TUMBLER 12_BRIDE,Sponsored Products,"B08R8R7T36_12oz_Bride_wedding gifts for bride b,p_11h45",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,462,,3,,0.649%,£3.86,,£1.2866667,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B09XDFF8FF_TUMBLER 20_YOU ARE DEAD TO US BLACK,Sponsored Products,"B09XDFF8FF_20oz_Dead to us black_leaving gifts for men b,p_15h",United Kingdom,ENABLED,GBP,£8.0,Manual targeting,Dynamic bids – up and down,84,,4,,4.7620000000000005%,£3.12,,£0.78,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B09B9PKM9M_TUMBLER 20_BRIDE,Sponsored Products,B09B9PKM9M_20oz_Bride_auto 14h55,United Kingdom,PAUSED,GBP,£3.0,Automatic targeting,Dynamic bids – up and down,629,,5,,0.795%,£3.05,,£0.61,£0.0,3,7.185%,13.92,£42.45
"Jul 01, 2025",B0CQK1NB66_COFFEE GLASS_COOL AUNTIE CLUB,Sponsored Products,"[Cool auntie club CF] [aunt, auntie] [b,p]",United Kingdom,PAUSED,GBP,£8.0,Manual targeting,Dynamic bids – up and down,601,,9,,1.498%,£5.5,,£0.6111111,£0.0,0,0.0%,0.0,£0.0
"Jul 01, 2025",B09B9PKM9M_TUMBLER 20_BRIDE,Sponsored Products,"B09B9PKM9M_20oz_Bride_bride b,p 1",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,1143,,5,,0.437%,£3.5,,£0.7,£0.0,1,24.735%,4.04,£14.15
"Jul 01, 2025",B08R8R7T36_TUMBLER 12_BRIDE,Sponsored Products,"B08R8R7T36_12oz_Bride_bride to be gifts b,p_14h45",United Kingdom,PAUSED,GBP,£5.0,Manual targeting,Dynamic bids – up and down,1281,,4,,0.312%,£3.54,,£0.885,£0.0,1,25.018%,4.0,£14.15
"Jul 01, 2025",B0CQK1NB66_COFFEE GLASS_COOL AUNTIE CLUB,Sponsored Products,"B0CQK1NB66_CF_Cool auntie club_auntie_b,p",United Kingdom,ENABLED,GBP,£5.0,Manual targeting,Dynamic bids – up and down,398,,3,,0.754%,£3.15,,£1.05,£0.0,2,11.824%,8.46,£26.64
"Jul 01, 2025",B08R8R2LQF_TUMBLER 20_MAY THE FORTIES BE WITH YOU BLACK,Sponsored Products,"B08R8R2LQF_20oz_Forties black_40th birthday decoration men b,p_13h",United Kingdom,PAUSED,GBP,£3.0,Manual targeting,Dynamic bids – up and down,10,,0,,0.0%,£0.0,,£0.0,£0.0,0,0.0%,0.0,£0.0
