"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"28";"2";"559,44";"-5,59";"-139,44";"-139,44";"";"";"";"";"";"7,14";"100";"-27,92";"-207,68";"-92,12";"";"86,69";"86,69";"175,52";"";"15,50";"94,11";"2 731";"24,92";"134";"20,90"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"23";"";"528,54";"";"-147,91";"-147,91";"";"";"";"";"";"";"-";"";"-192,05";"-45,08";"";"143,50";"143,50";"188,58";"";"27,15";"318,32";"13 106";"27,98";"143";"16,08"
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"22";"";"483,56";"-8,8";"-35,51";"-35,51";"";"";"";"";"";"";"100";"6,52";"-155,14";"-71,72";"";"218,91";"218,91";"284,11";"";"45,27";"305,23";"2 737";"7,34";"63";"34,92"
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler COG: 3,31 / Price: 19,98";"B08R8PXYL6";"ZG-6MPB-F5JV";"20";"";"399,6";"-7,2";"-95,13";"-95,13";"";"";"";"";"";"";"100";"3,31";"-147,82";"-66,2";"";"86,56";"86,56";"149,45";"";"21,66";"130,76";"7 790";"23,81";"50";"40,00"
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"16";"1";"367,68";"-3,45";"-76,02";"-76,02";"";"";"";"";"";"6,25";"-";"-19,94";"-132,99";"-56";"";"79,28";"79,28";"135,28";"";"21,56";"141,57";"21 105";"20,68";"64";"25,00"
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"15";"";"239,7";"-0,8";"";"";"";"";"";"";"";"";"100";"4,99";"-114,32";"-74,85";"";"54,72";"54,72";"124,58";"";"22,83";"73,11";"66 340";"";"59";"25,42"
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"15";"";"254,7";"";"-123,51";"-123,51";"";"";"";"";"";"";"-";"";"-115,65";"-29,85";"";"-14,31";"-14,31";"15,54";"";"-5,62";"-47,94";"8 482";"48,49";"115";"13,04"
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"15";"2";"321,72";"-4,83";"-89,53";"-89,53";"";"";"";"";"";"13,33";"100";"-31,41";"-145,07";"-67,2";"";"-16,32";"-16,32";"46,4";"";"-5,07";"-24,29";"12 810";"27,83";"104";"14,42"
"NewEleven Birthday Gifts for Women - Thank You Present, Christian Gifts for Women, Mom, Teacher - Inspirational Gift for Coworker - Handmade Positive Sunflower Doll Crochet with Card COG: 0 / Price: 9,99";"B0FCLHRJ36";"0M-ATAJ-MC5Y";"15";"";"149,85";"";"-244,65";"-244,65";"";"";"";"";"";"";"-";"";"-71,7";"";"";"-166,50";"-166,50";"-166,5";"";"-111,11";"";"";"163,26";"122";"12,30"
"NewEleven Retirement Gift For Woman, Men - Heartfelt Message, Retirement Card For Boss, Friend - Coworker Leaving Gifts For Women From Friends, Colleague - Greeting Card COG: 0,39 / Price: 5,99";"B0FC69Q8BS";"ZB-KCAW-W2E3";"13";"";"77,87";"";"-139,95";"-139,95";"";"";"";"";"";"";"-";"";"-42,64";"-5,07";"";"-109,79";"-109,79";"-104,72";"";"-140,99";"-2 165,48";"3 106";"179,72";"115";"11,30"
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"12";"";"239,76";"-12";"-120,86";"-120,86";"";"";"";"";"";"";"-";"";"-79,85";"-42,72";"";"-15,67";"-15,67";"27,05";"";"-6,54";"-36,68";"5 708";"50,41";"134";"8,96"
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"12";"1";"191,76";"-1,6";"-56,27";"-56,27";"";"";"";"";"";"8,33";"-";"-11,09";"-91,3";"-33,6";"";"-2,10";"-2,10";"31,5";"";"-1,10";"-6,25";"8 544";"29,34";"186";"6,45"
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"11";"";"208,78";"";"-86,59";"-86,59";"";"";"";"";"";"";"-";"";"-80,19";"-28,49";"";"13,51";"13,51";"42";"";"6,47";"47,42";"17 651";"41,47";"155";"7,10"
"NewEleven Gifts For Mom - Heartfelt Message, Birthday Card For Mom From Daughter, Son, Kids - Meaningful Gift, Unique Present For Mother - Greeting Card COG: 0,39 / Price: 5,99";"B0FC6DJMD9";"1E-URHL-R626";"11";"";"65,89";"-0,3";"-128,18";"-128,18";"";"";"";"";"";"";"-";"";"-36,03";"-4,29";"";"-102,91";"-102,91";"-98,62";"";"-156,18";"-2 398,83";"8 086";"194,54";"80";"13,75"
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98";"B089QFYLFB";"XH-ELQT-PEJ2";"10";"1";"199,8";"";"-81,72";"-81,72";"";"";"";"";"";"10,00";"-";"-17,34";"-74,5";"-33,9";"";"-7,66";"-7,66";"26,24";"";"-3,83";"-22,60";"7 790";"40,90";"44";"22,73"
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"9";"";"206,82";"";"-35,37";"-35,37";"";"";"";"";"";"";"-";"";"-71,55";"-37,89";"";"62,01";"62,01";"99,9";"";"29,98";"163,66";"21 626";"17,10";"24";"37,50"
"NewEleven Women - Friend Gifts Ornaments 2025 - Friendship Gifts for Friends, Birthday Gift for Women, Besties, Soul Sisters - Ceramic Christmas Ornaments COG: 0,91 / Price: 4,99";"B0DK16MCXG";"JC-JJYR-OWD3";"9";"";"44,91";"-2,79";"";"";"";"";"";"";"";"";"-";"";"-27,6";"-8,19";"";"6,33";"6,33";"14,52";"";"14,09";"77,29";"308 389";"";"6";"150,00"
"NewEleven Retirement Gift For Woman - Retirement Card For Women, Men, Boss - Funny Retirements Gifts For Men, Farewell Gifts For Coworkers From Work Bestie, Colleague - Greeting Card COG: 0,39 / Price: 5,99";"B0FC69R4PK";"A9-HSHI-ATQO";"9";"";"53,91";"-0,6";"-77,35";"-77,35";"";"";"";"";"";"";"-";"";"-29,42";"-3,51";"";"-56,97";"-56,97";"-53,46";"";"-105,68";"-1 623,08";"3 084";"143,48";"63";"14,29"
"NewEleven 50th Birthday Gifts For Women - 1975 50th Birthday Decorations For Women - Gifts For Her Turning 50 Year Old - 20 Oz Tumbler COG: 3,31 / Price: 21,98";"B0DH7X6R1J";"YJ-F5N3-DGJ5";"8";"";"175,84";"-1,1";"-47,34";"-47,34";"";"";"";"";"";"";"";"";"-62,05";"-26,48";"";"38,87";"38,87";"65,35";"";"22,11";"146,79";"2 737";"26,92";"53";"15,09"
"NewEleven 70th Birthday Gifts For Men Women - 1955 70th Birthday Decorations - Gifts For Men Women Turning 70-70 Year Old Gifts For Man, Woman - 20 Oz Tumbler COG: 3,32 / Price: 19,98";"B0DHCGTL3R";"DF-AWOB-F9BG";"8";"1";"159,84";"";"-34,26";"-34,26";"";"";"";"";"";"12,50";"-";"-13,87";"-59,6";"-26,56";"";"25,55";"25,55";"52,11";"";"15,98";"96,20";"2 731";"21,43";"30";"26,67"
