Product,ASIN,Date,SKU,Units,Refunds,Sales,Promo,Ads,Sponsored products (PPC),Sponsored Display,% Refunds,Sellable Quota,Refund сost,Amazon fees,Cost of Goods,Gross profit,Net profit,Estimated payout,Margin,ROI,BSR,Real ACOS,Sessions,Unit Session Percentage
"NewEleven Gifts For Mom - Gifts For Mother, Women, Wife - Funny Best Birthday Gift Ideas For Wife, New Mama, Bonus Mama, Mom To Be, Mother In Law - 12 Oz Tumbler COG: 3,76 / Price: 15,98",B07Y7ZQ265,2025-07-01,F1-10S9-NASK,,,,,,,,,,,,,,,,,,,,9.0,
"NewEleven Fathers Day Gift For Dad From Daughter, Son, Kids - Birthday Gift For Dad, Husband, Men - Best Present Idea For Father, Husband, Bonus Father From Daughter, Son, Wife - 20 Oz Tumbler COG:  / Price: 0",B088GX79HT,2025-07-01,,,,,,,,,,,,,,,,,,,,,6.0,
"NewEleven 40th Birthday Gifts For Women - 40th Birthday Decorations For Women, Her - Best 40 Year Old Gifts Ideas For Wife, Mom, Friends, Sister - Turning 40 Presents For Female - 12 Oz Tumbler COG: 3,87 / Price: 14,99",B089QFK8NV,2025-07-01,6O-P3K0-CFHN,1.0,,1499.0,,,,,,,,-663.0,-387.0,449.0,449.0,836.0,2995.0,11602.0,,,18.0,556.0
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98",B089QFYLFB,2025-07-01,XH-ELQT-PEJ2,19.0,,37962.0,-1998.0,-5117.0,-506.0,-57.0,,,,-13825.0,-6441.0,10581.0,10581.0,17022.0,2787.0,16428.0,,1348.0,40.0,4750.0
"NewEleven Gifts For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron COG: 3,92 / Price: 15,98",B08CDFWN1Q,2025-07-01,T7-POTQ-PD13,10.0,1.0,1598.0,,,,,1000.0,,-1465.0,-637.0,-392.0,4225.0,4225.0,8145.0,2644.0,10778.0,,,42.0,2381.0
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler COG: 3,31 / Price: 19,98",B08R8PXYL6,2025-07-01,ZG-6MPB-F5JV,13.0,,25974.0,,-103.0,-103.0,,,,,-9685.0,-4303.0,1686.0,1686.0,5989.0,649.0,3918.0,,3966.0,54.0,2407.0
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98",B08R8R2LQF,2025-07-01,JC-JMFX-W7IY,16.0,,36768.0,,-9259.0,-9257.0,-2.0,,100.0,421.0,-1272.0,-6736.0,8474.0,8474.0,14789.0,2305.0,12580.0,,2518.0,44.0,3636.0
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Men Women - Gifts For Women Turning 50-50 Year Old Gift For Men, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 4,65 / Price: 14,99",B08R8SW1NM,2025-07-01,IW-9AEL-FYY3,1.0,,1499.0,,,,,,,,-703.0,-465.0,331.0,331.0,796.0,2208.0,7118.0,,,10.0,1000.0
"NEWELEVEN Coworker Leaving Gift - Farewell, Going Away, New Job, Goodbye, Good Luck for Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler COG: 4,76 / Price: 19,98",B08Y8RZRHG,2025-07-01,31-PNFY-F78S,1.0,,1998.0,,,,,,,,-745.0,-476.0,777.0,777.0,1253.0,3889.0,16324.0,,,19.0,526.0
NewEleven 20 Oz Tumbler - Christmas Gifts for Dad from Kids COG:  / Price: 0,B08ZKZ1FJK,2025-07-01,,,,,,,,,,,,,,,,,,,,,3.0,
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98",B08ZRWW1W4,2025-07-01,A6-H1II-ZKFG,26.0,3.0,5745.0,,-20013.0,-19989.0,-24.0,1154.0,,-5933.0,-19875.0,-10764.0,865.0,865.0,11629.0,151.0,804.0,,3484.0,126.0,2063.0
