State,Portfolio,Status,Budget type,Budget(USD),Budget start,Budget end,Campaign count,Impressions,Clicks,CTR,Spend(USD),CPC(USD),Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD)
,x B0DK16ZQYT_ORNAMENT_THE LIGHT REMAINS CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,9700,110,0.0113,269.57,2.45,1,7.99,33.7384,0.0296,0,0,0.00,0,0,0.00
,x B0D72LVLCF_ORNAMENT_HAPPY ANNIVERSARY - 50 YEARS OF BEING MR. RIGHT/ MRS ALWAYS RIGHT,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,44271,123,0.0028,525.07,4.27,5,34.95,15.0235,0.0666,0,0,0.00,0,0,0.00
,x B0CZL938RN_HAT_TRUCKER HAT 1959,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,104433,148,0.0014,499.95,3.38,2,33.96,14.7217,0.0679,0,0,0.00,0,0,0.00
,Launching_B0FC6DJMD9_CARD_MOM BIRTHDAY_THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1981,31,0.0156,55.02,1.77,1,5.99,9.1853,0.1089,0,0,0.00,0,0,0.00
,SPONSORED DISPLAY,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,3850443,2644,0.0007,5040.68,1.91,33,606.21,8.3151,0.1203,0,0,0.00,0,0,0.00
,launching B0FCLHRJ36_CROCHET_SUNFLOWER CROCHET Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,4383,40,0.0091,106.74,2.67,1,12.98,8.2234,0.1216,0,0,0.00,0,0,0.00
,x B0DJYC1HGM_ORNAMENT_ALL HEART COME HOME CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,126762,143,0.0011,324.69,2.27,4,39.95,8.1274,0.123,0,0,0.00,0,0,0.00
,x B0DJYBK9N1_ORNAMENT_THE SKY LOOKS DIFFERENCE CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,25671,198,0.0077,454.33,2.29,8,59.90,7.5848,0.1318,0,0,0.00,0,0,0.00
,x B0D7N2F66T_ORNAMENT_50 YEARS OF LOVE CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,99441,469,0.0047,1737.89,3.71,26,249.74,6.9588,0.1437,0,0,0.00,0,0,0.00
,x B0D7HNDG8Y_ORNAMENT_25 YEARS OF MARRIAGE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,53874,213,0.004,781.04,3.67,15,144.65,5.3995,0.1852,0,0,0.00,0,0,0.00
,x B0B5T5DP6Y_CANDLE_OUR FRIENDSHIP,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,76337,311,0.0041,858.15,2.76,8,163.84,5.2377,0.1909,0,0,0.00,0,0,0.00
,Launching_B0FC5MVV3Q_CARD_HAPPY BIRTHDAY_TRINH,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,45482,283,0.0062,490.35,1.73,16,95.84,5.1163,0.1955,0,0,0.00,0,0,0.00
,B0DR1SNKVX_ORNAMENT_ENGAGED RING BOX 2025 GLASS_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,96348,772,0.008,2877.32,3.73,83,589.17,4.8837,0.2048,0,0,0.00,0,0,0.00
,x B0D9VKTY47_ORNAMENT_YOU WILL ALWAYS BE THE FIRST THING,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,47996,251,0.0052,414.11,1.65,10,87.90,4.7111,0.2123,0,0,0.00,0,0,0.00
,launching B0FC5W1QX7_CARD_MOST BOSS ARE THE PRETTY SHIT_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,30765,261,0.0085,489.23,1.87,19,111.81,4.3755,0.2285,0,0,0.00,0,0,0.00
,x B0C6DKJ9HP_HAT_TRUCKER HAT 1963,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,576172,478,0.0008,837.03,1.75,13,191.74,4.3654,0.2291,0,0,0.00,0,0,0.00
,x B0CWNTB4ZP_WINE GLASS_I'M GETTING MEOWIED,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,246845,905,0.0037,3442.76,3.80,44,799.13,4.3081,0.2321,0,0,0.00,0,0,0.00
,x B0CJLNJYVQ_TOTE BAG_COOL SISTER CLUB,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,177452,419,0.0024,1779.01,4.25,20,429.52,4.1419,0.2414,0,0,0.00,0,0,0.00
,x B0CZLB14XY_HAT_TRUCKER HAT 1934,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,587955,566,0.001,1072.35,1.89,12,261.74,4.097,0.2441,0,0,0.00,0,0,0.00
,"Launching_B0FC6CL2XN_CARD_THANK YOU FOR LISTENING, FOR GUIDANCE_THILE",PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,39903,185,0.0046,359.15,1.94,8,92.82,3.8693,0.2584,0,0,0.00,0,0,0.00
,x B0CZL9FZVB_HAT_TRUCKER HAT 1949,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,117931,170,0.0014,625.56,3.68,10,164.81,3.7956,0.2635,0,0,0.00,0,0,0.00
,x B0DJY8QZG2_ORNAMENT_NO LONGER LIVING IN SIN GLASS,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,20169,119,0.0059,298.97,2.51,9,83.91,3.563,0.2807,0,0,0.00,0,0,0.00
,B0D7HN2MM5_ORNAMENT_50 YEARS OF MARRIAGE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,38983,307,0.0079,1281.16,4.17,35,367.62,3.485,0.2869,0,0,0.00,0,0,0.00
,"launching B0FC6CNPQK_CARD_THIS ISN'T A ""THANK YOU"" NOTE Linh",PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,21690,194,0.0089,341.51,1.76,15,99.80,3.4219,0.2922,0,0,0.00,0,0,0.00
,x B0C5CCB86Q_HAT_TRUCKER HAT DAD EST 2023,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,102288,516,0.005,2056.29,3.99,34,622.43,3.3036,0.3027,0,0,0.00,0,0,0.00
,B0DQ56WTWZ_SELF STIRRING MUG_YOURE THE BEST THING BLACK_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,239360,2262,0.0095,5108.51,2.26,112,1632.31,3.1296,0.3195,0,0,0.00,0,0,0.00
,x B0D7MZF4BS_ORNAMENT_MERRY & MARRIED EST. 2024 ACRYLIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,197952,750,0.0038,2476.03,3.30,89,864.10,2.8654,0.349,0,0,0.00,0,0,0.00
,x B0CZDSYWNZ_HAT_TRUCKER HAT 1964,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,285454,376,0.0013,1378.93,3.67,28,495.30,2.784,0.3592,0,0,0.00,0,0,0.00
,launching B0FC62VRRC_CARD_LET'S BE FRIEND_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,37340,438,0.0117,578.79,1.32,33,208.65,2.774,0.3605,0,0,0.00,0,0,0.00
,B0DQ59YSW3_SELF STIRRING MUG_YOU ARE AWESOME BLACK_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,177997,2032,0.0114,3795.20,1.87,92,1374.50,2.7611,0.3622,0,0,0.00,0,0,0.00
,x B0B6FX8JQW_CANDLE_HAPPY BIRTHDAY DEAR FRIEND,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,189825,588,0.0031,1817.08,3.09,32,666.36,2.7269,0.3667,0,0,0.00,0,0,0.00
,x B0BKL8FYZJ_CANDLE_DAD UGLY,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,366705,1897,0.0052,5199.20,2.74,115,1921.56,2.7057,0.3696,0,0,0.00,0,0,0.00
,B0F184GZ28_TUMBLER 20_BOYFRIEND TRUMP LOSER BLACK_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,48830,321,0.0066,806.09,2.51,21,302.60,2.6639,0.3754,0,0,0.00,0,0,0.00
,x B0CZDSJ39M_HAT_TRUCKER HAT 1954,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,234458,320,0.0014,1080.31,3.38,20,405.58,2.6636,0.3754,0,0,0.00,0,0,0.00
,x B0D7HLCDZB_ORNAMENT_60 YEARS OF MARRIAGE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,84498,202,0.0024,739.55,3.66,22,278.44,2.656,0.3765,0,0,0.00,0,0,0.00
,x B0F5B2XGXM_CARD_LIKE FATHER LIKE DAUGHTER OH CRAP_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,62603,392,0.0063,383.57,0.98,16,145.02,2.6449,0.3781,0,0,0.00,0,0,0.00
,x B0DQ8L1DQW_ORNAMENT_50 & FABULOUS 1975 GLASS_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,41203,466,0.0113,822.02,1.76,35,315.61,2.6045,0.3839,0,0,0.00,0,0,0.00
,x B0B7HV2LGY_CANDLE_SISTER WALK THROUGH,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,153509,1028,0.0067,2834.38,2.76,51,1097.90,2.5816,0.3874,0,0,0.00,0,0,0.00
,launching B0FC6DL8X8_CARD_WISHING YOU A LIFETIME OF HAPPINESS_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,28661,326,0.0114,475.79,1.46,29,185.69,2.5623,0.3903,0,0,0.00,0,0,0.00
,x B0DJT47X1F_ORNAMENT_MY 1ST CHRISTMAS PHOTO FRAME ACRYLIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,149187,487,0.0033,957.80,1.97,42,377.56,2.5368,0.3942,0,0,0.00,0,0,0.00
,x B0B2WG2K43_TUMBLER 12_YOU ARE AWESOME ROSE GOLD,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,216740,252,0.0012,579.44,2.30,11,230.78,2.5108,0.3983,0,0,0.00,0,0,0.00
,B0F17GLNKP_TUMBLER 20_UNCLE TRUMP LOSER BLACK_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,72716,279,0.0038,851.67,3.05,22,342.55,2.4863,0.4022,0,0,0.00,0,0,0.00
,B0D739JLH2_ORNAMENT_DIFFERENCE MAKER,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,158633,923,0.0058,2283.07,2.47,76,920.81,2.4794,0.4033,0,0,0.00,0,0,0.00
,x B0CYSCBGQ9_CANDLE_OMG! YOU'RE ENGAGED!,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,245337,688,0.0028,3218.32,4.68,79,1306.42,2.4635,0.4059,0,0,0.00,0,0,0.00
,B0DRT2D2ZB_ORNAMENT_THE YEAR WE BECAME MR & MRS 2025 GLASS_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,779363,6601,0.0085,11400.73,1.73,633,4655.08,2.4491,0.4083,0,0,0.00,0,0,0.00
,B0F17N58SN_TUMBLER 20_HUSBAND TRUMP LOSER BLACK_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,111855,793,0.0071,2358.47,2.97,55,999.88,2.3588,0.424,0,0,0.00,0,0,0.00
,B0DJT5JM6T_ORNAMENT_NO LONGER BY MY SIDE ACRYLIC_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,54878,294,0.0054,619.13,2.11,35,265.56,2.3314,0.4289,0,0,0.00,0,0,0.00
,launching B0FC6CY15S_CARD_HAPPY BIRTHDAY CAT MOM_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,6851,50,0.0073,96.63,1.93,7,41.93,2.3046,0.4339,0,0,0.00,0,0,0.00
,Launching_B0FC69R4PK_CARD_A WISE PERSON ONCE SAID_THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,6143,38,0.0062,54.98,1.45,4,23.96,2.2947,0.4358,0,0,0.00,0,0,0.00
,x B0DK11YM64_ORNAMENT_HAPPY 40TH BIRTHDAY CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,63098,194,0.0031,402.20,2.07,17,177.82,2.2618,0.4421,0,0,0.00,0,0,0.00
,x B0CC5BG2JQ_COFFEE GLASS_WHENEVER YOU FEEL DAUGHTER,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,104519,946,0.0091,1620.12,1.71,45,721.95,2.2441,0.4456,0,0,0.00,0,0,0.00
,x B0DJYCPNR6_ORNAMENT_GOD BLESS CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,44493,97,0.0022,282.11,2.91,10,125.87,2.2413,0.4462,0,0,0.00,0,0,0.00
,launching B0FC65ZB93_CARD_WE WOULDN'T BE THE TEAM Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,16747,292,0.0174,505.15,1.73,42,227.56,2.2199,0.4505,0,0,0.00,0,0,0.00
,B0DJY9BWQ4_ORNAMENT_GODMOTHER GLASS,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,18900,197,0.0104,434.09,2.20,18,200.79,2.1619,0.4626,0,0,0.00,0,0,0.00
,x B0DFBYSQTQ_FIGURINE_RETIREMENT NEVER UNDERESTIMATE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,54069,470,0.0087,1055.88,2.25,28,490.37,2.1532,0.4644,0,0,0.00,0,0,0.00
,x B0DFBX61CJ_CANDLE_ONE YEAR LATER ANNIVERSARY,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,78667,274,0.0035,704.73,2.57,22,327.61,2.1511,0.4649,0,0,0.00,0,0,0.00
,x B0CHJ2B24X_TUMBLER 20_NURSE + NURSE NUTRITION WHITE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,285086,1396,0.0049,2651.67,1.90,71,1233.42,2.1499,0.4651,0,0,0.00,0,0,0.00
